state,year,registered_total,early_d_votes,early_r_votes,early_total,final_d_votes,final_r_votes,final_total,prev_d_margin
Alaska,2024,611078,50580,67247,141849,139812,184204,337733,-0.03
Alaska,2020,646093,64714,90292,192346,153778,189951,359530,-0.03
Arizona,2024,4367593,1076917,1207619,2414835,1582860,1770242,3428011,0.11
Arizona,2020,4728109,1210818,1461474,2887775,1672143,1661686,3387326,-0.11
Arkansas,2024,1828129,220126,498882,787464,396905,759241,1182676,-0.06
Arkansas,2020,1831414,241653,525802,925355,423932,760647,1219069,-0.06
California,2024,22595659,5978131,3186529,9547851,9233864,6034843,15770451,0.55
California,2020,26157616,8293119,3896273,13051487,11110250,6006429,17500881,0.55
Colorado,2024,4058938,1661894,1189764,3084948,1728159,1377441,3190873,0.09
Colorado,2020,4211528,1543041,1371846,3239366,1804352,1364607,3256980,0.09
Connecticut,2024,2303767,411584,228194,737245,990946,736110,1757070,0.07
Connecticut,2020,2524717,366883,166503,627342,1080831,714717,1823857,0.07
Delaware,2024,788441,130848,103783,245772,289758,214351,511697,0.03
Delaware,2020,739672,106845,45110,165462,296268,200603,504346,0.03
Florida,2024,13949168,3361639,3893071,8077206,4683038,6110125,10893752,-0.29
Florida,2020,15231808,4248309,4199578,9108977,5297045,5668731,11067456,-0.29
Georgia,2024,7219868,1762640,1826940,3878066,2548017,2663117,5250047,0.16
Georgia,2020,7618436,1748190,1933265,4008990,2473633,2461854,4999960,-0.16
Hawaii,2024,860868,139004,43204,319570,313044,193661,516701,0.04
Hawaii,2020,832466,270472,7729,320559,366130,196864,574469,0.03
Idaho,2024,1126982,102872,191618,346791,274972,605246,905053,-0.04
Idaho,2020,1029763,128277,294597,497101,287021,554119,868014,-0.04
Illinois,2024,8005217,1722863,1005481,3039350,3038725,2441039,5570523,0.2
Illinois,2020,9789893,2009833,1068450,3625833,3471915,2446891,6033744,0.2
Indiana,2024,4700685,517618,874874,1547657,1167396,1732919,2951156,-0.11
Indiana,2020,4751370,684220,1037980,2012861,1242416,1729519,3033121,-0.11
Iowa,2024,2256774,315541,310769,665903,707278,927019,1663506,-0.06
Iowa,2020,2243758,466214,410594,990384,759061,897672,1690871,-0.06
Kansas,2024,1944146,273609,352015,655971,531989,741464,1296750,-0.06
Kansas,2020,1942156,311694,448951,831582,570323,771406,1372303,-0.06
Louisiana,2024,3044598,194189,513227,925393,1208505,766870,2006975,-0.08
Louisiana,2020,3106432,377264,484650,926939,856034,1255776,2148062,-0.08
Maine,2024,1061816,201893,125027,363530,432066,379237,830912,0.02
Maine,2020,1135229,278349,158913,494678,435072,360737,819461,0.02
Maryland,2024,4047944,1143230,498470,1683057,1896833,1034331,3012252,0.1
Maryland,2020,4180787,1643752,715681,2462307,1985023,976414,3037030,0.1
Massachusetts,2024,4812739,1131825,425439,1665512,2120380,1248958,3465457,0.11
Michigan,2024,8148345,1502998,1498989,3415556,2736533,2816636,5664186,0.16
Michigan,2020,8105524,1326044,1266352,3260375,2804040,2649852,5539302,-0.16
Minnesota,2024,4140462,481892,264128,1183535,1656979,1519032,3253920,0.1
Minnesota,2020,3601258,805915,615439,1830169,1717077,1484065,3277171,0.1
Montana,2024,831569,88119,213470,455272,231906,352079,605763,-0.03
Montana,2020,752538,185746,252549,584983,244786,343602,603674,-0.03
Nebraska,2024,1262051,158182,196615,370220,369248,563702,945307,-0.03
Nebraska,2020,1267099,207182,298935,534338,374583,556846,956383,-0.04
Nevada,2024,2338582,542509,507932,1190668,705197,751205,1476027,0.06
Nevada,2020,1865551,626856,587827,1335747,703486,669890,1405376,0.06
New Hampshire,2024,1142747,47275,33921,85786,418488,395523,826189,0.04
New Hampshire,2020,1119232,92043,64063,174846,424937,365660,806205,0.04
New Jersey,2024,6643654,538673,217796,793315,2212472,1963236,4274043,0.14
New Jersey,2020,6407297,2094210,1543314,4061398,2608335,1883274,4549353,0.14
New Mexico,2024,1353748,326975,273080,620537,478802,423391,923362,0.05
New Mexico,2020,1355528,414038,305385,767245,501614,401894,923965,0.05
New York,2024,13623009,2127783,1093188,3478820,4397886,3472798,7910779,0.29
New York,2020,13555547,1923299,1249195,3514916,5230985,3244798,8594826,0.29
North Carolina,2024,7291297,1969465,2010147,4295787,2715382,2898429,5698599,-0.15
North Carolina,2020,7361219,2160651,2120974,4590543,2684292,2758775,5524804,-0.15
North Dakota,2024,596885,14998,68046,130718,112327,246505,368155,-0.03
Ohio,2024,8136887,995338,1222103,2473536,2531253,3175344,5768840,-0.18
Ohio,2020,8073829,1337305,1504460,3364104,2679165,3154834,5922202,-0.18
Oklahoma,2024,2297272,39741,58776,102632,499599,1036213,1566173,-0.07
Oklahoma,2020,2259113,140865,202860,369354,503890,1020280,1560699,-0.07
Oregon,2024,3339979,1112217,725865,2090075,1237984,917299,2239401,0.07
Oregon,2020,2944588,1278450,885430,2377523,1340383,958448,2374321,0.07
Pennsylvania,2024,8890093,1056730,641182,1753304,3423100,3543532,7035296,-0.2
Pennsylvania,2020,9090962,1623392,802861,2636203,3458229,3377674,6915283,-0.2
Rhode Island,2024,791129,92209,49170,151203,285156,214406,513386,0.04
Rhode Island,2020,732125,157010,54013,248761,307486,199922,517757,0.04
South Carolina,2024,3554826,534937,800982,1567426,1028452,1483747,2548140,-0.09
South Carolina,2020,3513225,505195,539062,1249636,1091541,1385103,2513329,-0.09
South Dakota,2024,592888,44080,83190,144401,146859,272081,428922,-0.03
South Dakota,2020,578666,69267,126986,210975,150471,261043,422609,-0.03
Tennessee,2024,4232080,611361,1321200,2092041,1055039,1964499,3064985,-0.11
Tennessee,2020,4261137,668664,1295684,2283318,1143711,1852475,3053851,-0.11
Texas,2024,17323617,3230617,4290693,8636214,4834608,6393036,11383975,-0.38
Texas,2020,16955519,3684612,4733330,9567906,5259126,5890347,11315056,-0.36
Utah,2024,1590348,112622,220835,409635,562566,883818,1488494,-0.06
Utah,2020,1681844,162543,458760,739152,560282,865140,1488289,-0.06
Vermont,2024,466789,139532,46746,215921,235791,119395,369422,0.03
Vermont,2020,497835,164971,52339,251511,242820,112704,367428,0.03
Virginia,2024,5811383,1153748,859363,2283201,2335419,2075117,4506002,0.13
Virginia,2020,5975696,1419551,977278,2816305,2413568,1962430,4460524,0.13
Washington,2024,5084510,1943483,1273699,3737598,2245849,1530923,3924245,0.12
Washington,2020,4892871,2151471,1306250,4053103,2369612,1584651,4087631,0.08
West Virginia,2024,1098150,92177,214528,318588,214309,533556,762760,-0.05
West Virginia,2020,1272067,125364,203982,391495,235984,545382,794731,-0.05
Wisconsin,2024,4757255,502915,380251,1475204,1668229,1697626,3420166,0.1
Wisconsin,2020,3684726,654340,836661,1887705,1630866,1610184,3298041,-0.1
Wyoming,2024,298062,21015,56374,89077,69527,192633,269048,-0.03
Wyoming,2020,268837,33461,84421,125874,73491,193559,276765,-0.03